,dataset,subsample_n,method,val_nll,val_accuracy,test_nll,test_accuracy,data_seed
165,cc18_3,-1,ag-bagging,0.60508139274514,0.7,0.6589016837726652,0.57,13
166,cc18_18,-1,ag-bagging,0.000406105969398,1.0,0.001784470085367,1.0,14
167,cc18_20,-1,ag-bagging,0.4580550070137394,0.7597402597402597,0.509586621421461,0.7402597402597403,9
168,cc18_3,-1,ag-bagging,0.630784502064865,0.68,0.6876121578590059,0.6,12
169,cc18_13,-1,ag-bagging,0.666961098135756,0.673469387755102,0.6768975045400014,0.7297297297297297,11
170,cc18_11,-1,ag-bagging,0.0472259071648722,1.0,0.0512656919247569,1.0,12
171,cc18_12,-1,ag-bagging,0.0523329965985579,1.0,0.0668487298277124,0.9975,9
172,cc18_1,-1,ag-bagging,0.462526424114062,0.8,0.4538541744559615,0.8066666666666666,14
173,cc18_14,-1,ag-bagging,0.2011638624098768,1.0,0.2050872029357737,1.0,6
174,cc18_17,-1,ag-bagging,0.448410313898764,0.79,0.5328140134326809,0.74,11
175,cc18_13,-1,ag-bagging,0.7788647794924827,0.6530612244897959,0.7022098655084448,0.6891891891891891,5
176,cc18_0,-1,ag-bagging,4.753931944970705e-06,1.0,0.001097785159439,1.0,6
177,cc18_20,-1,ag-bagging,0.4932460059105798,0.7662337662337663,0.4404158322158057,0.8246753246753247,6
178,cc18_2,-1,ag-bagging,0.0675898016524416,0.968,0.0971841329990932,0.952,13
179,cc18_27,-1,ag-bagging,0.0298172779917448,1.0,0.0923812875049629,0.9824561403508772,13
180,cc18_25,-1,ag-bagging,1.2801158456152733e-07,1.0,0.0042412313743342,1.0,12
181,cc18_24,-1,ag-bagging,0.0043660179737092,1.0,0.0069054168951079,0.9954954954954957,12
182,cc18_2,-1,ag-bagging,0.0861049725468935,0.968,0.1341509751438455,0.944,8
183,cc18_6,-1,ag-bagging,0.0047109798186281,0.9974226804123713,0.0145548830573989,0.9974293059125964,5
184,cc18_13,-1,ag-bagging,0.7243926221134387,0.6938775510204082,0.7846421823455817,0.668918918918919,9
185,cc18_21,-1,ag-bagging,0.2083113510047476,0.910958904109589,0.1551420207057182,0.934931506849315,8
186,cc18_16,-1,ag-bagging,0.024663476012867,0.9927536231884058,0.1920681291493972,0.9347826086956522,13
187,cc18_6,-1,ag-bagging,0.0053257990089338,1.0,0.0043861999833533,1.0,7
188,cc18_28,-1,ag-bagging,0.0256194986316407,1.0,0.0377156991489393,0.990521327014218,10
189,cc18_27,-1,ag-bagging,0.0669764525708814,1.0,0.0872168612688351,0.9736842105263158,11
190,cc18_23,-1,ag-bagging,2.422935244343059e-05,1.0,0.0186500819842544,0.9904761904761904,8
191,cc18_14,-1,ag-bagging,0.0477402310609035,1.0,0.0509822318785674,1.0,14
192,cc18_9,-1,ag-bagging,0.3210533266595345,0.8333333333333334,0.4591450118531036,0.8240740740740741,13
193,cc18_16,-1,ag-bagging,0.0320256443409175,0.9927536231884058,0.0799141133008913,0.9637681159420288,12
194,cc18_21,-1,ag-bagging,0.1679101454523705,0.9075342465753424,0.2230851627058167,0.8835616438356164,12
195,cc18_19,-1,ag-bagging,0.0178371134425074,0.99375,0.0076018662122831,1.0,14
196,cc18_28,-1,ag-bagging,0.0812268630709673,1.0,0.0793844361811203,1.0,6
197,cc18_12,-1,ag-bagging,0.0961518451571807,1.0,0.1015875457233747,1.0,7
198,cc18_25,-1,ag-bagging,2.398797758343924e-07,1.0,5.255963751086872e-05,1.0,11
199,cc18_18,-1,ag-bagging,0.0001853766620694,1.0,0.0021961801559872,1.0,8
200,cc18_26,-1,ag-bagging,0.4100420603568209,0.7810650887573964,0.4709668788341651,0.788235294117647,10
201,cc18_21,-1,ag-bagging,0.1779801612107522,0.9075342465753424,0.2055659378076015,0.9075342465753424,9
202,cc18_3,-1,ag-bagging,0.609806622191236,0.64,0.6822070039615479,0.57,14
203,cc18_6,-1,ag-bagging,0.0022775746387757,1.0,0.0034862834213563,1.0,14
204,cc18_20,-1,ag-bagging,0.4389695453574576,0.8051948051948052,0.4516305319713846,0.8051948051948052,7
205,cc18_18,-1,ag-bagging,0.0001060560864179,1.0,0.0095909196435138,0.9940828402366864,12
206,cc18_4,-1,ag-bagging,0.0094753649359329,0.9975,0.0025375693105931,1.0,13
207,cc18_0,-1,ag-bagging,4.271736612596805e-06,1.0,0.0002841147144399,1.0,7
208,cc18_1,-1,ag-bagging,0.4702549844360871,0.78,0.4571040437082952,0.7866666666666666,8
209,cc18_14,-1,ag-bagging,0.0042689311495913,0.9975,0.0059710913941907,1.0,11
210,cc18_18,-1,ag-bagging,0.0002492442368509,1.0,0.0051386747488402,1.0,11
211,cc18_29,-1,ag-bagging,0.5450522751468568,0.6837606837606838,0.5085878839102401,0.717948717948718,8
212,cc18_13,-1,ag-bagging,0.6448355903951491,0.7278911564625851,0.777239079298163,0.6216216216216216,14
213,cc18_10,-1,ag-bagging,0.06762459907045,0.9785714285714284,0.1207625228724713,0.9642857142857144,7
214,cc18_16,-1,ag-bagging,0.0658346269589588,0.9782608695652174,0.110035371845864,0.9637681159420288,6
215,cc18_22,-1,ag-bagging,0.2527982464654638,0.8913738019169329,0.2513942373396,0.9009584664536742,14
216,cc18_25,-1,ag-bagging,2.046521096071523e-07,1.0,2.287192890527962e-07,1.0,14
217,cc18_15,-1,ag-bagging,0.0153896879673343,0.9932203389830508,0.0137876612506123,0.9932203389830508,5
218,cc18_12,-1,ag-bagging,0.0039788331092113,1.0,0.0097952568562723,0.9975,5
219,cc18_21,-1,ag-bagging,0.1967550694673301,0.9006849315068494,0.2194317282758033,0.9006849315068494,14
220,cc18_8,-1,ag-bagging,0.055626389876973,0.9797687861271676,0.0553622566107097,0.9826589595375722,9
221,cc18_9,-1,ag-bagging,0.3840215427447634,0.8148148148148148,0.3721628573232441,0.8425925925925926,9
222,cc18_28,-1,ag-bagging,0.0560046840248634,1.0,0.0596641634438401,0.995260663507109,9
223,cc18_28,-1,ag-bagging,0.0016566467297408,1.0,0.0038748896009185,1.0,5
224,cc18_28,-1,ag-bagging,0.0018591652708754,1.0,0.0050358671827856,1.0,14
225,cc18_17,-1,ag-bagging,0.5036958867478059,0.75,0.5349353015355072,0.705,6
226,cc18_5,-1,ag-bagging,0.0005579204944417,1.0,0.0025214493930778,1.0,5
227,cc18_29,-1,ag-bagging,0.5376073777253763,0.7264957264957265,0.5394381085820574,0.6752136752136753,14
228,cc18_10,-1,ag-bagging,0.0804308108483363,0.9714285714285714,0.0936094134692471,0.9642857142857144,8
229,cc18_2,-1,ag-bagging,0.0544340776278497,1.0,0.268013161807721,0.92,5
230,cc18_17,-1,ag-bagging,0.4608880133868503,0.79,0.4981137236498419,0.745,13
231,cc18_5,-1,ag-bagging,0.0456456033571131,1.0,0.0459543510744969,1.0,11
232,cc18_9,-1,ag-bagging,0.3141653353245881,0.8611111111111112,0.4613982839635605,0.7592592592592593,5
233,cc18_11,-1,ag-bagging,0.1990533338179898,1.0,0.1999480991615319,1.0,10
234,cc18_7,-1,ag-bagging,0.149991988062978,0.9537037037037036,0.1594948815580222,0.9166666666666666,11
235,cc18_8,-1,ag-bagging,0.0337974951284074,0.9855491329479767,0.0298928312584961,0.9942196531791908,13
236,cc18_19,-1,ag-bagging,0.0181069607611598,1.0,0.0368825204066481,0.9875,6
237,cc18_14,-1,ag-bagging,0.0476701748881891,1.0,0.0568855630116295,0.995,5
238,cc18_24,-1,ag-bagging,3.3539169751624987e-06,1.0,0.0460767219586251,0.9954954954954957,6
239,cc18_29,-1,ag-bagging,0.4424196961129791,0.7863247863247863,0.5319182341946938,0.6923076923076923,9
240,cc18_22,-1,ag-bagging,0.2210631527760141,0.9137380191693292,0.1932787014685338,0.9201277955271564,8
241,cc18_13,-1,ag-bagging,0.7370330963956614,0.7074829931972789,0.7601186904470131,0.6081081081081081,10
242,cc18_11,-1,ag-bagging,0.0956955701818693,1.0,0.0984274257624307,0.9975,11
243,cc18_15,-1,ag-bagging,0.0029915494062911,1.0,0.0088067448656262,0.9966101694915256,9
244,cc18_24,-1,ag-bagging,4.9340005006909e-05,1.0,0.0004404287059835,1.0,5
245,cc18_25,-1,ag-bagging,1.799922372125898e-07,1.0,0.0032030074579245,1.0,7
246,cc18_19,-1,ag-bagging,0.015900482423998,1.0,0.0331207836438931,0.98125,8
247,cc18_3,-1,ag-bagging,0.6063736027829447,0.66,0.7592805553405181,0.48,11
248,cc18_15,-1,ag-bagging,0.0066636173461841,1.0,0.0122475339492748,0.9966101694915256,14
249,cc18_13,-1,ag-bagging,0.7244133074149027,0.7074829931972789,0.6170842388996862,0.7432432432432432,13
250,cc18_9,-1,ag-bagging,0.4234336914826779,0.8240740740740741,0.355767654263625,0.7962962962962963,11
251,cc18_8,-1,ag-bagging,0.0580761582191496,0.9826589595375722,0.0451013701511809,0.9797687861271676,6
252,cc18_17,-1,ag-bagging,0.4247352192276544,0.79,0.4099384305227468,0.805,7
253,cc18_24,-1,ag-bagging,0.052245360325619,1.0,0.0551617995781452,0.9954954954954957,10
254,cc18_26,-1,ag-bagging,0.429477613112019,0.7337278106508875,0.4143681615663904,0.7705882352941177,8
255,cc18_17,-1,ag-bagging,0.4975371816392425,0.745,0.4513119024031917,0.79,9
256,cc18_11,-1,ag-bagging,0.0471535776111543,1.0,0.0501103846614776,1.0,14
257,cc18_25,-1,ag-bagging,2.1841134028415906e-07,1.0,2.13178664908373e-07,1.0,10
258,cc18_3,-1,ag-bagging,0.6767125324985535,0.58,0.6707469046414523,0.58,5
259,cc18_8,-1,ag-bagging,0.0144409524018224,0.9971098265895952,0.038249403985818,0.9797687861271676,8
260,cc18_6,-1,ag-bagging,0.0045279498171175,1.0,0.0033823788176739,1.0,11
261,cc18_16,-1,ag-bagging,0.0911528235844395,0.9710144927536232,0.1686462679226759,0.9492753623188406,7
262,cc18_15,-1,ag-bagging,0.0407247559423263,1.0,0.0534507873791571,0.9898305084745764,12
263,cc18_28,-1,ag-bagging,0.027639358760975,1.0,0.036165064805979,0.990521327014218,7
264,cc18_21,-1,ag-bagging,0.1291317387275657,0.9452054794520548,0.1774827047117514,0.9417808219178082,13
265,cc18_24,-1,ag-bagging,0.0005073865994727,1.0,0.0006733019703023,1.0,7
266,cc18_12,-1,ag-bagging,0.0066156208909337,0.9975,0.0036812069901714,1.0,14
267,cc18_23,-1,ag-bagging,0.0145070808116271,0.9904761904761904,0.0034887515603991,1.0,11
268,cc18_29,-1,ag-bagging,0.4982893640797683,0.7094017094017094,0.4905904253169812,0.7094017094017094,12
269,cc18_12,-1,ag-bagging,0.0181116374032643,0.9975,0.0099613004903368,0.9975,10
270,cc18_24,-1,ag-bagging,0.0261685668244005,1.0,0.0305686602440228,0.9954954954954957,9
